大分類,中分類,定義,この中分類に入る例,この中分類にしない例
レジ接客,接客態度,レジ担当者の態度・表情・言動・身だしなみ等,表情/口調/挨拶/動作/態度/私語/配慮/身だしなみ,手順・対応の不備（→マニュアル）
レジ接客,マニュアル,レジ運用・手順（会計・ポイント・クーポン等）の不備,レジ誘導/ポイント/クーポン/キャンペーン/会計ミス/サッカー/物の扱い,担当者の知識不足（→知識）
レジ接客,知識,レジ担当者の知識不足（アプリ・決済等）,アプリ・キャンペーン・ポイントの知識/クーポン・決済の知識,手順の不備（→マニュアル）
レジ接客,薬,レジでの医薬品対応・販売方法,医薬品対応・販売方法,売場での医薬品対応（→外周り接客:薬）
外周り接客,接客態度,売場・外周り担当者の態度・表情・言動・身だしなみ等,表情/口調/挨拶/動作/態度/私語/配慮/身だしなみ,売場作業の不備（→売場・作業時）
外周り接客,売場・作業時,売場・作業時の対応（電話/返品/在庫/特注/作業態度等）,電話/返品交換/在庫問い合わせ/特注・EC受取/通路作業/開閉店作業/万引き扱い/作業音,商品知識（→商品）
外周り接客,商品,売場担当者の商品対応・知識・制限対応,商品知識/点数制限対応,医薬品対応（→薬）
外周り接客,薬,売場での医薬品対応・薬剤師・アラート,医薬品対応・販売方法/薬剤師不在/医薬品アラート,レジでの医薬品対応（→レジ接客:薬）
アンマッチ,売価アンマッチ,棚表示とレジ売価の不一致,棚は198円だがレジで248円,ポイントの不一致（→ポイントアンマッチ）
アンマッチ,ポイントアンマッチ,ポイント付与・利用の不一致,ポイントが付かない/合わない,売価の不一致（→売価アンマッチ）
欠品・特注,欠品,定番・チラシ商品の欠品,定番の品切れ/チラシ特売品の欠品,特注（→特注）
欠品・特注,特注,特注対応に関するもの,特注の依頼・対応,欠品（→欠品）
商品・扱い品,製品不良,商品自体の不良,破損/不良品,期限切れ（→期限切れ）
商品・扱い品,点数制限,購入点数制限に関するもの,点数制限で買えない,製品不良（→製品不良）
商品・扱い品,期限切れ,賞味・消費期限切れ,期限切れが陳列,製品不良（→製品不良）
商品・扱い品,品揃え,品揃え・取扱いへの要望,取扱いが無い/品揃えが少ない,欠品（→欠品・特注）
クリンリネス,クリンリネス,店内外の清掃・衛生,店内/テスター/店外・駐車場/トイレ,従業員の身だしなみ（→接客態度）
アプリ,アプリ,自社アプリの仕組み・内容,アプリの仕様・使い勝手,店員のアプリ知識（→レジ接客:知識）
販促関連,販促,キャンペーン・企画・販促,企画内容/キャンペーンのシステム,店員の対応（→接客）
EC,EC,ネット通販・店舗受け取り,EC関連/店舗受け取り,店頭の特注（→外周り接客）
その他,設備,店舗・本部の設備,店内設備/本部設備,清掃・衛生（→クリンリネス）
その他,閉店,閉店に関するもの,閉店の案内・対応,その他（→その他）
その他,その他,上記以外（騒音・配送など）,騒音/配送/その他,明確に他分類に入るもの
事件・事故,事件・事故,店内外の事件・事故,事件/事故,通常のクレーム
