大分類,中分類,小分類,定義,この小分類に入る例,この小分類にしない例
レジ接客,接客態度（レジ接客）,表情（レジ接客）,中分類「接客態度（レジ接客）」のうち「表情（レジ接客）」に該当するもの,,
レジ接客,接客態度（レジ接客）,口調・発言（レジ接客）,中分類「接客態度（レジ接客）」のうち「口調・発言（レジ接客）」に該当するもの,,
レジ接客,接客態度（レジ接客）,挨拶（レジ接客）,中分類「接客態度（レジ接客）」のうち「挨拶（レジ接客）」に該当するもの,,
レジ接客,接客態度（レジ接客）,動作（レジ接客）,中分類「接客態度（レジ接客）」のうち「動作（レジ接客）」に該当するもの,,
レジ接客,接客態度（レジ接客）,態度（レジ接客）,中分類「接客態度（レジ接客）」のうち「態度（レジ接客）」に該当するもの,,
レジ接客,接客態度（レジ接客）,私語（レジ接客）,中分類「接客態度（レジ接客）」のうち「私語（レジ接客）」に該当するもの,,
レジ接客,接客態度（レジ接客）,配慮（レジ接客）,中分類「接客態度（レジ接客）」のうち「配慮（レジ接客）」に該当するもの,,
レジ接客,接客態度（レジ接客）,身だしなみ（レジ接客）,中分類「接客態度（レジ接客）」のうち「身だしなみ（レジ接客）」に該当するもの,,
レジ接客,マニュアル,レジ並び・誘導・レジ混雑,中分類「マニュアル」のうち「レジ並び・誘導・レジ混雑」に該当するもの,,
レジ接客,マニュアル,ポイント不備・聞かない,中分類「マニュアル」のうち「ポイント不備・聞かない」に該当するもの,,
レジ接客,マニュアル,クーポン対応不備,中分類「マニュアル」のうち「クーポン対応不備」に該当するもの,,
レジ接客,マニュアル,キャンペーン対応不備,中分類「マニュアル」のうち「キャンペーン対応不備」に該当するもの,,
レジ接客,マニュアル,会計ミス,中分類「マニュアル」のうち「会計ミス」に該当するもの,,
レジ接客,マニュアル,サッカー関連,中分類「マニュアル」のうち「サッカー関連」に該当するもの,,
レジ接客,マニュアル,商品・物の扱い,中分類「マニュアル」のうち「商品・物の扱い」に該当するもの,,
レジ接客,知識,アプリ・キャンペーン・ポイントの知識,中分類「知識」のうち「アプリ・キャンペーン・ポイントの知識」に該当するもの,,
レジ接客,知識,クーポン・決済の知識,中分類「知識」のうち「クーポン・決済の知識」に該当するもの,,
レジ接客,薬（レジ接客）,医薬品対応・販売方法,中分類「薬（レジ接客）」のうち「医薬品対応・販売方法」に該当するもの,,
外周り接客,接客態度（外周り接客）,表情（外周り接客）,中分類「接客態度（外周り接客）」のうち「表情（外周り接客）」に該当するもの,,
外周り接客,接客態度（外周り接客）,口調・発言（外周り接客）,中分類「接客態度（外周り接客）」のうち「口調・発言（外周り接客）」に該当するもの,,
外周り接客,接客態度（外周り接客）,挨拶（外周り接客）,中分類「接客態度（外周り接客）」のうち「挨拶（外周り接客）」に該当するもの,,
外周り接客,接客態度（外周り接客）,動作（外周り接客）,中分類「接客態度（外周り接客）」のうち「動作（外周り接客）」に該当するもの,,
外周り接客,接客態度（外周り接客）,態度（外周り接客）,中分類「接客態度（外周り接客）」のうち「態度（外周り接客）」に該当するもの,,
外周り接客,接客態度（外周り接客）,私語（外周り接客）,中分類「接客態度（外周り接客）」のうち「私語（外周り接客）」に該当するもの,,
外周り接客,接客態度（外周り接客）,配慮（外周り接客）,中分類「接客態度（外周り接客）」のうち「配慮（外周り接客）」に該当するもの,,
外周り接客,接客態度（外周り接客）,身だしなみ（外周り接客）,中分類「接客態度（外周り接客）」のうち「身だしなみ（外周り接客）」に該当するもの,,
外周り接客,売場・作業時,電話対応,中分類「売場・作業時」のうち「電話対応」に該当するもの,,
外周り接客,売場・作業時,返品・交換対応,中分類「売場・作業時」のうち「返品・交換対応」に該当するもの,,
外周り接客,売場・作業時,在庫確認・問い合わせ対応,中分類「売場・作業時」のうち「在庫確認・問い合わせ対応」に該当するもの,,
外周り接客,売場・作業時,特注対応・ＥＣ店舗受け取り,中分類「売場・作業時」のうち「特注対応・ＥＣ店舗受け取り」に該当するもの,,
外周り接客,売場・作業時,棚・通路を開けない/お客様の近くで作業,中分類「売場・作業時」のうち「棚・通路を開けない/お客様の近くで作業」に該当するもの,,
外周り接客,売場・作業時,開店・閉店作業,中分類「売場・作業時」のうち「開店・閉店作業」に該当するもの,,
外周り接客,売場・作業時,万引き扱い,中分類「売場・作業時」のうち「万引き扱い」に該当するもの,,
外周り接客,売場・作業時,商品の取り扱い方、音を立てて作業,中分類「売場・作業時」のうち「商品の取り扱い方、音を立てて作業」に該当するもの,,
外周り接客,商品,商品知識,中分類「商品」のうち「商品知識」に該当するもの,,
外周り接客,商品,点数制限対応,中分類「商品」のうち「点数制限対応」に該当するもの,,
外周り接客,薬（外周り接客）,医薬品対応・販売方法,中分類「薬（外周り接客）」のうち「医薬品対応・販売方法」に該当するもの,,
外周り接客,薬（外周り接客）,薬剤師不在,中分類「薬（外周り接客）」のうち「薬剤師不在」に該当するもの,,
外周り接客,薬（外周り接客）,医薬品アラート,中分類「薬（外周り接客）」のうち「医薬品アラート」に該当するもの,,
アンマッチ,売価アンマッチ,売価アンマッチ,中分類「売価アンマッチ」のうち「売価アンマッチ」に該当するもの,,
アンマッチ,ポイントアンマッチ,ポイントアンマッチ,中分類「ポイントアンマッチ」のうち「ポイントアンマッチ」に該当するもの,,
欠品・特注,欠品,定番,中分類「欠品」のうち「定番」に該当するもの,,
欠品・特注,欠品,チラシ,中分類「欠品」のうち「チラシ」に該当するもの,,
欠品・特注,特注,特注,中分類「特注」のうち「特注」に該当するもの,,
商品・扱い品,製品不良,製品不良,中分類「製品不良」のうち「製品不良」に該当するもの,,
商品・扱い品,点数制限,点数制限,中分類「点数制限」のうち「点数制限」に該当するもの,,
商品・扱い品,期限切れ,期限切れ,中分類「期限切れ」のうち「期限切れ」に該当するもの,,
商品・扱い品,品揃え,品揃え,中分類「品揃え」のうち「品揃え」に該当するもの,,
クリンリネス,クリンリネス,店内,中分類「クリンリネス」のうち「店内」に該当するもの,,
クリンリネス,クリンリネス,テスター,中分類「クリンリネス」のうち「テスター」に該当するもの,,
クリンリネス,クリンリネス,店外・駐車場,中分類「クリンリネス」のうち「店外・駐車場」に該当するもの,,
クリンリネス,クリンリネス,トイレ,中分類「クリンリネス」のうち「トイレ」に該当するもの,,
アプリ,アプリ,アプリ,中分類「アプリ」のうち「アプリ」に該当するもの,,
販促関連,販促,企画内容,中分類「販促」のうち「企画内容」に該当するもの,,
販促関連,販促,システム（キャンペーンのシステム）,中分類「販促」のうち「システム（キャンペーンのシステム）」に該当するもの,,
EC,EC,EC関連,中分類「EC」のうち「EC関連」に該当するもの,,
EC,EC,店舗受け取り,中分類「EC」のうち「店舗受け取り」に該当するもの,,
その他,設備,店内,中分類「設備」のうち「店内」に該当するもの,,
その他,設備,本部,中分類「設備」のうち「本部」に該当するもの,,
その他,閉店,閉店,中分類「閉店」のうち「閉店」に該当するもの,,
その他,その他,その他（騒音・配送など含む）,中分類「その他」のうち「その他（騒音・配送など含む）」に該当するもの,,
その他,その他,その他,中分類「その他」のうち「その他」に該当するもの,,
事件・事故,事件・事故,事件・事故,中分類「事件・事故」のうち「事件・事故」に該当するもの,,
問い合わせ・要望,問い合わせ・要望,問い合わせ・要望,中分類「問い合わせ・要望」のうち「問い合わせ・要望」に該当するもの,,
営業,営業,営業,中分類「営業」のうち「営業」に該当するもの,,
社内,社内,社内,中分類「社内」のうち「社内」に該当するもの,,
人事書類,人事書類,人事書類,中分類「人事書類」のうち「人事書類」に該当するもの,,
テナント接客,テナント接客,テナント接客,中分類「テナント接客」のうち「テナント接客」に該当するもの,,
テナント商品,テナント商品,テナント商品,中分類「テナント商品」のうち「テナント商品」に該当するもの,,
お褒め,お褒め,お褒め,中分類「お褒め」のうち「お褒め」に該当するもの,,
