分類名,定義,この分類に入る例,この分類にしない例
来店前,来店前（チラシ・電話・アプリ確認等）の場面,来店前の情報・予約,店内での出来事
入店時,入店直後の場面,入店時の挨拶がない,売場回遊（→売場回遊時）
売場回遊時,売場を見て回っている場面,回遊中の出来事,商品選択（→商品確認・選択時）
商品確認・選択時,商品を確認・選択する場面,商品を選ぶ時の不満,欠品確認（→欠品・在庫確認時）
売場での接客・案内時,売場で従業員が接客・案内する場面,売場での接客・案内,レジ（→レジ会計時）
欠品・在庫確認時,欠品や在庫を確認する場面,在庫問い合わせ/欠品,商品選択（→商品確認・選択時）
特注・EC受取対応時,特注やEC店舗受取の場面,特注/店舗受取対応,通常接客（→売場での接客・案内時）
レジ待ち時,レジに並んで待つ場面,レジ待ちが長い,会計処理（→レジ会計時）
レジ会計時,レジで会計する場面,会計ミス/売価不一致/ポイント,セルフレジ（→セルフレジ利用時）
セルフレジ利用時,セルフレジ利用の場面,セルフレジ操作・決済,有人レジ（→レジ会計時）
ポイント・クーポン利用時,ポイント・クーポン利用の場面,ポイント/クーポンが使えない,会計処理（→レジ会計時）
医薬品対応時,医薬品の相談・販売の場面,医薬品対応/薬剤師,通常商品（各場面）
電話対応時,電話でのやり取りの場面,電話応対の不満,来店時対応
返品・交換対応時,返品・交換の対応場面,返品可否のやり取り,通常問い合わせ（→売場での接客・案内時）
作業対応時,品出し等の作業中の場面,作業中の対応/作業音,接客（各場面）
退店時,退店時の場面,退店時の対応,駐車場（→駐車場・店外施設利用時）
駐車場・店外施設利用時,駐車場・店外施設利用の場面,駐車場が使いにくい,店内（各場面）
アプリ・EC利用時,アプリ・ECサイト利用の場面,アプリ/ECの利用,店員の知識（→売場/レジ）
不明,発生場面が特定できない,場面が判断できない,場面が明確なもの
